@copyright 新媒体搜索引擎: https://www.sougood.top
-----------------------------------------------
词语	词频	词性
管理	1117	动词
变化	1103	动词
自由	1093	形容词
系统	1092	名词
先	1091	副词
资产	1089	名词
观点	1089	名词
领域	1084	名词
例子	1080	名词
大脑	1077	名词
收入	1068	动词
拥有	1061	动词
风险	1061	名词
原文	1059	名词
提供	1055	动词
逻辑	1054	名词
意识	1046	名词
越来越	1044	副词
万	1040	数词
收益	1040	名词
想法	1039	动词
成本	1038	名词
一位	1034	数词
建议	1034	名词
接受	1033	动词
日	1031	数词
答案	1030	名词
请	1022	动词
变得	1020	动词
完	1017	动词
价格	1010	名词
一年	999	数词
文化	998	名词
创造	996	动词
永远	989	副词
增长	983	动词
成	979	名词
几个	974	数词
话题	974	名词
本书	970	代词
环境	968	名词
作者	966	名词
这件	965	数量词
不到	958	动词
技术	957	名词
正确	954	形容词
现实	950	名词
元	949	数词
做出	941	动词
一句	941	数词
决策	941	名词
设计	939	动词
讨论	937	动词
体验	936	名词
创业	927	名词
微信	926	动词
需求	923	动词
小时	921	名词
追求	919	动词
经验	919	名词
本质	913	名词
判断	913	动词
经济	905	名词
财富	904	名词
商业	904	名词
吃	904	动词
读	903	动词
数据	897	名词
包括	896	动词
面对	890	动词
持续	889	动词
第一	888	数词
焦虑	888	形容词
服务	885	动词
职业	884	名词
痛苦	882	形容词
指数	882	名词
巴菲特	877	名词
社交	869	名词
事实	868	名词
难	867	形容词
核心	867	名词
手机	863	名词
建立	863	动词
模式	854	名词
低	850	形容词
背后	849	方位词
业务	845	名词
视频	843	名词
表达	843	动词
办法	836	名词
一家	836	数词
意味着	826	动词
概念	824	名词
沟通	823	动词
项目	817	名词
平台	817	名词
真实	812	副词
年轻人	809	名词
花	807	动词
足够	806	动词
感到	800	动词
很大	791	形容词
角度	784	名词
导致	782	动词
生命	778	动词
错误	772	名词
爱	771	动词
大部分	768	数词
感	766	动词
习惯	758	名词
明白	757	名词
内心	757	名词
家	756	量词
推荐	753	动词
资本	752	名词
赚钱	749	动词
超过	746	动词
心理	745	名词
解释	744	动词
回答	743	动词
长	742	形容词
计划	742	名词
资源	737	名词
家庭	733	名词
学生	733	名词
历史	729	名词
工具	729	名词
分析	729	动词
老板	726	名词
不好	726	副词
空间	725	名词
确实	723	形容词
带	722	动词
三个	720	数词
值得	719	动词
好像	716	动词
快	714	形容词
节目	712	名词
读者	711	名词
肯定	709	动词
客户	706	名词
依然	705	副词
投入	701	动词
我会	700	名词
回到	700	动词
放弃	700	动词
教育	700	动词
一条	699	数词
帮	697	动词
基础	695	名词
想象	688	名词
类似	687	动词
策略	686	名词
相关	684	动词
失败	679	动词
网络	675	名词
程度	674	名词
预测	671	动词
数字	670	名词
总	668	区别词
理性	667	名词
自然	666	副词
标准	663	名词
至少	662	副词
尝试	660	动词
写作	659	动词
压力	654	名词
一篇	652	数词
模型	650	名词
那种	650	代词
关键	650	名词
父母	649	名词
非	647	前缀
站	644	动词
大学	643	名词
卖	641	动词
实际上	638	副词
表现	638	动词
倍	636	数词
提升	636	动词
事件	636	名词
离开	635	动词
代表	633	名词
记录	629	名词
主动	628	区别词
交易	627	名词
有时候	626	习用语
有没有	625	动词
错	624	动词
目的	621	名词
电影	617	名词
消费	616	动词
跑	611	动词
寻找	610	动词
同事	608	名词
提出	607	动词
增加	606	动词
字	606	名词
回报	603	动词
估值	603	名词
合作	602	动词
组织	599	动词
身上	599	处所词
聪明	597	形容词
公众号	595	字符串
计算	593	动词
快乐	593	形容词
提到	593	动词
分	592	动词
开	589	动词
不用	586	动词
优势	585	名词
人物	584	名词
城市	584	名词
力量	583	名词
原则	583	名词
精神	582	名词
不想	582	动词
少	581	形容词
理论	581	名词
提高	578	动词
慢慢	577	副词
一部分	576	数词
方向	576	名词
女性	575	名词
道理	574	名词
一段	574	数词
身体	574	名词
事物	571	名词
证明	570	名词
b	570	字符串
性	568	名词
第一次	566	数词
假设	565	动词
唯一	565	区别词
很难	561	副词
很难	561	形容词
死	561	动词
真	561	副词
一生	558	数词
i	556	字符串
幸福	556	形容词
财务	556	名词
时刻	555	名词
懂	555	动词
学	554	名词
控制	553	动词
路	551	名词
阶段	550	名词
几年	549	数词
理想	546	名词
玩	545	动词
优秀	545	形容词
因素	544	名词
支持	544	动词
资金	543	名词
竞争	542	动词
活动	541	动词
观察	541	动词
分钟	540	量词
专业	537	名词
反馈	536	动词
稳定	536	形容词
结束	533	动词
采访	532	动词
体系	532	名词
疫情	532	名词
经理	531	名词
记得	530	动词
做好	529	动词
干	528	动词
效率	525	名词
定义	523	名词
国家	523	名词
读书	522	名词
品牌	522	名词
指	519	名词
北京	518	名词
情感	518	名词
期待	517	动词
所有人	516	名词
亿	513	数词
学校	512	名词
欲望	511	动词
媒体	508	名词
快速	507	副词
正	507	副词
参与	506	动词
专注	503	动词
心态	503	名词
两种	501	数词
每次	501	代词
这句	501	代词
这句	501	量词
杠杆	499	名词
有趣	496	形容词
恐惧	495	形容词
文字	495	名词
老	491	形容词
广告	491	名词
一场	488	数词
水平	488	名词
适合	487	动词
天	486	量词
第一个	485	数词
房子	484	名词
困难	483	形容词
创新	481	动词
短期	480	区别词
趋势	480	名词
张	478	量词
信任	477	名词
点击	477	动词
身边	475	处所词
交流	474	名词
芒格	471	名词
翻译	468	动词
年轻	468	形容词
生意	466	动词
放在	465	动词
挺	464	副词
可能性	464	名词
精力	463	名词
积累	462	动词
掉	461	状态词
调整	461	动词
买入	460	动词
收录于	460	动词
段	460	量词
思想	459	名词
挑战	457	动词
有限	456	形容词
妈妈	456	名词
担心	455	动词
s	455	字符串
作用	453	动词
语言	451	名词
开心	450	动词
想到	449	动词
强	449	形容词
一张	449	数词
同学	449	名词
训练	448	动词
陷入	447	动词
新闻	446	名词
描述	446	动词
股价	445	名词
远	445	形容词
发	444	动词
预期	444	动词
持有	444	动词
变	443	动词
作品	442	名词
连接	441	动词
腾讯	441	名词
位置	440	动词
心	440	名词
母亲	440	名词
传统	439	名词
见	439	动词
事实上	438	习用语
之外	438	方位词
多年	437	数词
家里	437	处所词
购买	436	动词
创始人	436	名词
换	435	名词
结构	435	名词
化	434	名词
股	432	量词
实验	431	动词
领导	431	名词
功能	430	名词
百度	429	名词
t	429	字符串
参加	427	动词
拉	427	动词
朋友圈	426	名词
经营	426	动词
比赛	425	动词
投	424	动词
负责	423	动词
周期	423	时间词
•	423	字符串
图	423	名词
像是	422	动词
战略	421	名词
十年	420	数词
一份	420	数词
我要	420	代词
我要	420	动词
住	419	动词
篇文章	418	名词
技能	418	名词
职场	418	名词
本文	417	代词
演讲	417	动词
视角	417	名词
利用	416	名词
式	415	后缀
运营	415	动词
占	415	动词
探索	414	动词
场景	412	名词
享受	411	动词
外	409	方位词
回	408	动词
某种	408	代词
结论	408	名词
搜索	407	动词
深度	407	名词
速度	406	名词
两年	406	数词
声音	406	名词
运气	406	名词
关心	405	名词
打开	405	动词
态度	405	名词
熟悉	403	动词
所说	402	连词
词	402	名词
清晰	402	形容词
死亡	401	动词
利润	399	名词
付出	398	动词
波动	397	动词
充满	397	形容词
对话	397	名词
内部	397	方位词
层面	397	名词
案例	397	名词
app	397	英文
理由	395	名词
投资人	394	名词
条件	393	名词
运动	393	动词
听到	392	动词
现象	392	名词
搞	392	动词
最新	392	副词
ceo	392	英文
规则	392	名词
不错	391	形容词
现金	391	名词
类	391	量词
本来	389	时间词
生	389	动词
智慧	389	名词
支付	388	动词
回来	388	动词
日本	388	名词
父亲	386	名词
科技	385	名词
价值观	385	名词
效果	385	名词
健康	385	形容词
银行	383	名词
图片	383	名词
具备	383	动词
评价	382	名词
兴趣	381	名词
刚	381	副词
终于	380	副词
边界	380	名词
一项	380	数词
更新	379	副词
一步	379	数词
当年	379	时间词
约	378	副词
很快	377	副词
卖出	377	动词
有个	377	代词
复利	376	形容词
细节	376	名词
缺乏	376	动词
一套	375	数词
音乐	375	名词
区别	375	名词
不行	375	动词
选	374	状态词
全球	374	名词
完美	374	形容词
赢	374	动词
笔记	374	名词
上海	373	名词
体现	373	动词
活	373	动词
型	373	后缀
人会	373	名词
学会	373	名词
接触	372	动词
老唐	372	名词
其他人	371	代词
公式	371	名词
来源	370	名词
聊	370	动词
试图	369	动词
宇宙	369	名词
降低	369	动词
谈	367	动词
刺激	366	动词
质量	366	名词
股市	365	名词
科学	365	名词
拍	364	动词
样子	364	名词
拒绝	363	动词
介绍	362	动词
行	361	状态词
编辑	360	名词
笑	359	动词
立宪	359	简称略语
注意力	358	名词
看待	358	动词
期	356	名词
整体	356	名词
医生	356	名词
说话	355	动词
日常	355	副词
理念	354	名词
难以	354	副词
查理	354	动词
命运	353	名词
聊天	352	名词
对象	352	名词
间	351	方位词
之中	351	代词
晚上	351	时间词
心理学	351	名词
早	351	形容词
机构	350	名词
一段时间	349	习用语
形式	349	名词
｜	349	字符串
李想	349	名词
李想	349	动词
给出	348	动词
真相	348	副词
获取	347	动词
记住	346	动词
无限	346	动词
共识	346	名词
一本	345	数词
提醒	345	动词
仅仅	344	副词
内在	344	区别词
危机	344	名词
操作	344	动词
销售	344	动词
符合	343	动词
处于	343	动词
股东	342	名词
是从	342	动词
美元	342	量词
收益率	341	名词
留言	341	动词
算法	341	名词
进	340	动词
印象	340	名词
力	338	名词
人才	338	名词
流量	338	名词
次	337	量词
阿里	337	名词
提问	337	动词
责任	336	名词
看法	335	动词
教练	335	动词
加	334	动词
应对	334	动词
害怕	333	动词
减少	332	动词
拿到	331	动词
道	330	量词
比例	330	名词
受	329	动词
量	329	名词
生存	329	动词
不确定性	329	名词
面临	328	动词
接近	328	动词
下跌	328	动词
市值	328	名词
微博	327	字符串
名字	327	名词
算	327	动词
女儿	327	名词
财经	327	名词
重复	327	副词
毕业	326	名词
举个	325	动词
举个	325	量词
汽车	325	名词
保证	324	动词
无论是	324	连词
发布	323	动词
承认	323	动词
三	321	数词
培养	321	动词
贝叶斯	321	名词
这家	320	代词
正面	320	形容词
京东	319	名词
好好	319	副词
一辈子	318	数词
便宜	318	形容词
主题	318	名词
相比	317	动词
机制	317	名词
安排	316	动词
课程	315	名词
独立	315	动词
做法	315	动词
更大	315	副词
更大	315	形容词
业绩	315	名词
强大	314	形容词
没什么	314	习用语
实在	313	动词
美好	313	形容词
差异	313	名词
记忆	313	名词
金钱	313	名词
ta	313	英文
个体	313	名词
家人	312	名词
利益	312	名词
去年	311	时间词
留下	311	动词
深刻	311	副词
这位	310	代词
结婚	310	动词
或者说	310	连词
现金流	310	名词
老人	310	名词
反复	309	动词
冲突	309	动词
号	308	数词
实践	308	动词
始终	308	副词
输出	308	动词
孟岩	308	名词
角色	307	名词
会议	307	名词
实证	307	动词
完整	306	形容词
消失	306	名词
传播	306	动词
课	306	名词
规模	305	名词
条	305	名词
儿子	305	名词
普通人	305	名词
上涨	304	动词
金融	304	名词
圈	304	量词
婚姻	303	名词
方案	303	名词
手	302	名词
爸爸	302	名词
咨询	302	动词
法	302	简称略语
进化	301	动词
部门	301	名词
评论	300	名词
执行	300	动词
回复	300	动词
观众	300	名词
照片	299	名词
效应	299	名词
信	299	名词
差	299	形容词
吃饭	299	动词
厉害	299	形容词
创业者	299	名词
一只	298	数词
启发	297	动词
早期	297	时间词
成就	297	名词
一半	297	数词
一名	297	数词
成立	297	动词
生产	297	动词
刚刚	296	副词
准确	296	形容词
数学	296	名词
收获	296	动词
动作	296	名词
平均	296	形容词
需	294	动词
糟糕	294	形容词
网站	294	名词
群体	294	名词
反	294	状态词
坐在	294	动词
读库	294	名词
吸引	293	动词
国内	293	处所词
人性	293	名词
保护	292	动词
机器	292	名词
绝大多数	290	数词
苹果	290	名词
怀疑	289	动词
反思	289	动词
妻子	289	名词
提	288	动词
组合	288	动词
耐心	287	形容词
配置	287	动词
面前	286	方位词
说法	286	动词
有用	285	动词
网上	284	处所词
未必	284	副词
困惑	283	形容词
事业	283	名词
还会	283	副词
还会	283	动词
逼	283	动词
下降	282	动词
软件	282	名词
技巧	282	名词
伴侣	282	名词
第二个	281	数词
剩下	281	动词
身份	281	名词
便	280	副词
框架	280	名词
成绩	279	名词
上市	279	名词
工资	279	动词
记者	279	名词
定	278	动词
上班	278	动词
全	278	形容词
多巴胺	277	名词
期间	277	方位词
坏	277	形容词
进一步	276	副词
外界	275	名词
解决问题	275	名词
认可	275	动词
鼓励	274	动词
提前	274	动词
合适	274	形容词
数量	273	名词
率	273	动词
舒服	273	形容词
常见	273	形容词
背景	273	名词
动力	272	名词
电话	272	名词
四个	271	数词
冥想	271	名词
擅长	271	动词
重点	271	名词
车	271	状态词
忽略	271	副词
观念	270	名词
一遍	270	数词
这一	270	代词
这一	270	数词
等待	269	动词
办公室	269	名词
哲学	269	名词
倒	267	动词
年代	267	时间词
艺术	267	名词
达成	267	动词
危险	267	形容词
优化	267	动词
看着	266	动词
星球	266	名词
时期	266	名词
仅	266	副词
流程	265	名词
承担	265	动词
整理	264	名词
梦想	264	名词
回忆	264	动词
标签	263	名词
想想	263	动词
信念	263	名词
倾向	262	动词
外卖	262	动词
负面	262	名词
格雷厄姆	262	名词
损失	261	名词
原本	261	名词
消息	261	名词
错过	261	动词
性格	261	名词
特征	260	名词
应	260	动词
路径	260	名词
盈利	260	名词
能量	260	名词
近	259	形容词
思路	259	名词
块	259	状态词
路上	259	处所词
高度	259	名词
商品	259	名词
企业家	259	名词
事儿	258	名词
典型	258	名词
认同	258	动词
动机	258	名词
意见	257	名词
教	257	动词
他会	256	代词
他会	256	动词
底层	256	名词
丈夫	256	名词
达	255	动词
包含	255	动词
评估	255	动词
位	254	量词
免费	253	动词
好奇	253	形容词
尊重	253	形容词
将来	253	时间词
孤独	253	形容词
前提	253	名词
信号	253	名词
相当于	252	动词
在意	252	动词
金	251	名词
规划	251	名词
驱动	250	动词
休息	250	动词
一点点	250	数词
专家	250	名词
c	250	字符串
打造	250	动词
区	249	名词
这时候	248	代词
收到	248	动词
做事	248	动词
平时	248	时间词
教授	247	名词
方	247	名词
输入	247	动词
创作	247	动词
距离	246	名词
突破	246	动词
亲密关系	246	名词
男性	246	名词
三年	246	数词
作	245	动词
第三	245	数词
规律	245	名词
开放	245	动词
度	244	状态词
著名	244	形容词
深	244	形容词
浪费	244	名词
证据	244	名词
讲述	243	动词
一个月	243	数词
本周	243	时间词
电脑	242	名词
中心	242	名词
超越	242	动词
现场	242	名词
取决于	242	动词
构建	242	动词
男人	242	名词
验证	242	动词
引发	242	动词
有意思	241	习用语
称为	241	动词
外部	241	方位词
最初	241	时间词
只会	240	副词
只会	240	动词
跳	240	动词
轻松	240	形容词
涉及	240	动词
维度	240	名词
说服	240	动词
伤害	240	形容词
感知	240	动词
检查	240	动词
乐观	239	形容词
想起	239	动词
体会	239	名词
情	238	名词
连续	238	形容词
客观	237	名词
亿美元	237	数词
感谢	237	动词
币	237	名词
二	236	数词
发挥	236	动词
两	236	数词
政府	235	名词
推动	235	动词
放	234	动词
政策	234	名词
时光	234	名词
风格	234	名词
晚点	234	名词
人群	233	名词
寻求	233	动词
好处	233	副词
跌	232	动词
回家	232	名词
朵	232	数词
香港	231	名词
权力	231	名词
呈现	231	动词
感兴趣	230	名词
一笔	230	数词
涨	230	动词
平衡	230	形容词
幸运	230	形容词
热爱	230	形容词
回报率	229	名词
自信	229	动词
导演	229	动词
医院	229	名词
微软	228	形容词
线	228	名词
比特	228	名词
怕	227	动词
衡量	226	动词
展开	226	动词
脆弱	226	形容词
久	226	形容词
矛盾	226	形容词
几天	226	数词
道路	226	名词
只不过	226	连词
马东	226	名词
法律	225	名词
买房	224	名词
出版	223	动词
公开	223	形容词
题	223	名词
年龄	223	名词
信心	223	名词
感情	223	名词
方法论	223	名词
经典	222	名词
演员	222	名词
制造	222	动词
测试	222	动词
参考	222	动词
直播	222	动词
自动	222	动词
渴望	222	动词
期望	221	动词
长时间	221	习用语
确认	221	动词
希尔	221	名词
成熟	221	形容词
处	221	名词
平静	221	形容词
直觉	220	名词
眼睛	220	名词
报道	220	动词
高效	220	形容词
粉丝	220	名词
超级	219	区别词
未	219	副词
货币	219	名词
小说	218	名词
分配	218	动词
回顾	217	动词
一群	216	数词
运动员	216	名词
永平	216	名词
主义	216	名词
苏东坡	216	名词
没法	215	动词
账户	215	名词
泡沫	214	名词
设定	214	动词
培训	214	动词
遭遇	213	名词
书籍	213	名词
陈	213	名词
送	213	动词
爱情	213	名词
秘密	213	名词
拼多多	213	字符串
子	212	名词
流行	212	动词
文	212	名词
独特	212	形容词
代价	212	名词
靠谱	212	字符串
人员	212	名词
制度	212	名词
原理	211	名词
否定	211	动词
群	211	名词
纠结	211	动词
意外	210	形容词
年化	210	数词
年化	210	名词
看似	210	动词
豆瓣	210	名词
贡献	210	名词
对手	209	动词
想着	209	动词
重视	209	动词
一系列	208	数词
地位	208	名词
令人	207	名词
转载	207	动词
作家	207	名词
日子	207	名词
消费者	207	名词
画	207	名词
喝	207	动词
勇气	207	名词
岗位	207	名词
玩家	206	名词
邮件	206	名词
转	206	动词
代码	206	名词
学到	206	动词
人工智能	206	名词
动	205	动词
这份	205	数量词
它会	205	代词
它会	205	动词
垃圾	205	名词
类型	205	名词
识别	205	动词
发出	205	动词
人口	205	名词
理财	205	动词
麻烦	204	形容词
店	204	名词
级	204	量词
短	204	形容词
过度	204	名词
边际	204	名词
依赖	204	动词
渠道	204	名词
抽象	204	动词
常识	204	名词
塑造	204	动词
很长	203	副词
很长	203	形容词
美团	203	名词
刘润	203	名词
手段	203	名词
仔细	203	形容词
开发	203	动词
更是	203	副词
ai	203	英文
房价	203	名词
睡	202	动词
环节	202	名词
展示	202	动词
房间	202	名词
满意	202	动词
坐	202	动词
陪	202	动词
难度	202	副词
升级	202	动词
批评	202	动词
睡眠	202	动词
全世界	201	名词
早上	201	时间词
做成	201	动词
我能	201	代词
我能	201	动词
回应	201	动词
社群	201	名词
重	200	形容词
可怕	200	连词
不停	200	副词
股权	200	名词
要素	200	名词
牛市	199	名词
米	199	量词
状况	199	名词
立场	199	名词
年前	199	时间词
远远	199	副词
聚焦	199	动词
块钱	198	名词
物理	198	名词
暂时	198	副词
娱乐	198	动词
面试	198	动词
锻炼	198	动词
跟着	197	动词
上线	197	名词
总会	197	名词
指标	197	名词
照顾	197	动词
保险	197	名词
马龙	197	名词
最佳	196	状态词
特定	196	副词
营销	196	动词
算是	196	动词
艰难	196	形容词
面	196	名词
定律	196	名词
每周	196	代词
抱怨	196	动词
支出	196	动词
退休	196	动词
见到	195	动词
固定	195	形容词
早就	195	副词
吴晓波	195	名词
穿	195	状态词
愤怒	195	动词
经济学	194	名词
同意	194	副词
来到	194	动词
一部	194	数词
政治	194	名词
清单	194	形容词
陷阱	194	名词
辉哥	194	名词
猫	193	名词
确保	193	动词
硅谷	193	名词
不太	192	副词
活着	192	动词
天赋	192	名词
治疗	192	动词
费用	191	名词
各种各样	191	习用语
债券	191	名词
叙事	191	动词
注	190	动词
高手	190	名词
独立思考	190	名词
哭	190	动词
关	189	动词
用于	189	动词
相处	189	副词
google	189	英文
天才	189	名词
罗振宇	189	名词
人格	189	名词
地球	188	名词
明天	188	时间词
解	188	动词
基因	188	名词
人士	187	名词
曲线	187	名词
刷	187	状态词
大众	187	名词
年底	187	时间词
推出	187	动词
无聊	187	形容词
等于	187	动词
互动	187	副词
打算	186	动词
够	186	状态词
读完	186	动词
看过	186	动词
付费	186	动词
走向	186	动词
现	186	时间词
忘记	186	动词
传递	186	动词
奇怪	186	动词
这才	186	代词
这才	186	副词
头脑	186	名词
视为	186	动词
表演	186	动词
头	185	名词
段时间	185	名词
衣服	185	名词
心智	185	名词
发表	185	动词
一块	185	数词
版本	185	名词
放下	185	动词
地去	184	助词
地去	184	动词
摄影	184	名词
当成	184	动词
x	184	字符串
写下	184	动词
循环	184	动词
值	184	名词
华为	184	名词
质疑	183	动词
遗憾	183	形容词
样	183	名词
发现自己	183	习用语
facebook	183	英文
调查	183	动词
飞机	183	名词
当作	183	动词
无需	183	动词
伯克	183	名词
眼前	183	时间词
心情	183	名词
那天	182	代词
参与者	182	名词
小孩	182	名词
作业	182	名词
国际	182	名词
产业	182	名词
摆脱	182	动词
动物	181	名词
发明	181	动词
推	181	动词
出发	181	动词
管理者	181	名词
法则	181	名词
中学	180	名词
融资	180	动词
亏损	180	动词
估计	180	动词
系列	180	量词
件	180	状态词
脱不花	180	成语
从来不	179	副词
疯狂	179	形容词
迭代	179	动词
看不到	179	动词
节奏	179	名词
差别	179	副词
激励	179	动词
播客	179	动词
本能	179	名词
家长	179	名词
丨	179	状态词
一路	178	数词
随机	178	副词
战争	178	名词
亚马逊	178	名词
讨厌	178	动词
影响力	178	名词
无数	178	数词
数	177	名词
场	177	量词
题图	177	名词
后悔	177	动词
制作	177	动词
电商	177	名词
精彩	177	名词
flomo	177	英文
崔庆龙	177	名词
王兴	176	名词
回去	176	动词
使命	176	动词
之下	176	方位词
世纪	176	名词
解读	176	动词
日常生活	176	成语
躺	175	动词
几次	175	数词
分为	175	动词
解决方案	175	名词
谈话	175	动词
资料	175	名词
真诚	175	形容词
表面	175	名词
复盘	175	动词
特质	175	名词
建设	175	动词
掌控	175	简称略语
工程师	175	名词
多个	175	数词
抓住	174	动词
标题	174	名词
区分	174	名词
二维码	174	名词
自媒体	174	字符串
页	174	数词
养老	174	名词
信用	174	名词
青年	173	时间词
慢	173	形容词
名	173	量词
槽	173	名词
业	172	名词
无关	172	动词
被动	172	动词
屏幕	172	名词
线下	171	名词
商业模式	171	名词
复制	171	动词
骂	171	动词
这篇	170	代词
这篇	170	量词
五年	170	时间词
瞬间	170	时间词
谢谢	169	名词
随便	169	副词
如果说	169	连词
生态	169	名词
举	169	动词
一周	169	数词
匹配	169	动词
知	169	动词
净值	169	名词
下注	169	动词
不去	168	副词
不去	168	动词
伙伴	168	名词
申请	168	动词
显得	168	动词
机	168	名词
女人	168	名词
却是	168	副词
叶	168	名词
往事	167	动词
变量	167	动词
改	167	动词
心中	167	处所词
理	167	名词
大师	167	名词
陆奇	167	名词
激烈	166	形容词
对此	166	副词
消耗	166	名词
误解	166	动词
主流	166	区别词
紧张	166	形容词
不知	166	动词
美	166	名词
反对	166	副词
水	166	名词
土地	165	名词
公平	165	名词
太多	165	副词
太多	165	数词
傻	165	形容词
打破	165	动词
成果	165	名词
合伙人	165	名词
胡鑫宇	165	名词
语文	164	名词
两人	164	数词
两人	164	名词
有钱	164	动词
盯	164	动词
社区	164	名词
天天	164	时间词
考试	164	动词
秒	163	数词
链接	163	名词
实	163	名词
第二天	163	数词
显示	163	动词
收购	163	动词
低于	163	动词
采用	163	动词
冠军	163	名词
童哲	163	名词
东	162	名词
科学家	162	名词
常	162	副词
令	162	动词
克服	162	动词
出生	162	动词
忙	162	动词
烦恼	162	形容词
承受	162	动词
变动	162	动词
困境	162	名词
回归	162	动词
视觉	162	名词
支撑	161	动词
贴	161	动词
挣钱	161	动词
试着	161	动词
试着	161	助词
最早	161	副词
高管	161	名词
宏观	161	名词
体	161	名词
加班	161	动词
放到	160	动词
这场	160	数量词
顾客	160	名词
心理咨询	160	名词
困扰	160	动词
长大	160	名词
很小	159	形容词
全国	159	名词
万元	159	数词
同一个	159	区别词
观	159	动词
坚定	159	形容词
邀请	159	动词
懂得	159	动词
制定	159	动词
周末	159	时间词
洞察	159	名词
陪伴	159	名词
区域	159	名词
稍微	158	副词
频繁	158	形容词
报告	158	名词
统计	158	动词
乔布斯	158	名词
花钱	158	名词
地说	158	助词
地说	158	动词
长期投资	158	习用语
周报	158	名词
舒适	158	形容词
意	157	名词
相互	157	副词
旧	157	形容词
三种	157	数词
正式	157	形容词
极	157	副词
篇	157	量词
成员	157	名词
文静	157	名词
定位	156	名词
don	156	英文
睡觉	156	动词
下午	156	时间词
念头	156	名词
简化	156	动词
夫妻	156	名词
严敏	156	名词
离婚	155	动词
高于	155	动词
放松	155	动词
差距	155	名词
接	155	动词
去世	155	时间词
招聘	155	动词
分散	155	动词
单位	155	名词
好奇心	155	习用语
纸	155	名词
离职	155	动词
语音	155	名词
品质	154	名词
指出	154	动词
即可	154	副词
贵	154	形容词
一类	154	数词
平等	154	形容词
上帝	154	名词
放大	154	动词
热情	154	名词
市盈率	154	名词
反正	154	副词
选项	154	名词
time	154	英文
强化	154	动词
种种	153	量词
重要性	153	名词
注定	153	动词
带给	153	动词
物质	153	名词
残酷	153	形容词
people	153	英文
文学	153	名词
l	153	字符串
周奇墨	153	名词
职位	152	名词
围绕	152	动词
兴奋	152	动词
深圳	152	名词
漫长	152	名词
牛	152	名词
查看	152	动词
潜力	152	名词
属性	152	名词
缺少	152	动词
郭	152	名词
做过	151	动词
做过	151	助词
抱	151	动词
给予	151	动词
安全感	151	名词
智商	151	名词
道德	151	名词
乐趣	151	形容词
未知	151	动词
苦	151	形容词
拍摄	150	动词
设置	150	动词
对抗	150	动词
在线	150	区别词
敏感	150	形容词
证券	150	名词
诚实	150	形容词
创意	150	动词
穷人	150	名词
shein	150	英文
半年	149	数词
交	149	动词
英语	149	名词
当初	149	时间词
昨天	149	时间词
茅台	149	名词
明明	149	时间词
一把	148	数词
视野	148	名词
见面	148	名词
旅行	148	动词
作出	148	动词
优质	148	名词
段子	148	名词
病毒	148	名词
老喻	148	名词
难题	148	名词
花费	148	名词
改善	148	动词
工厂	148	名词
患者	147	名词
女孩	147	名词
听说	147	动词
